birth_year,games,games_starts,minutes,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,goals
1996,8,8,720,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0.6,0.6,0.6,0.08,0.08,0.08,0.08,0.08,8,0,4,0,57.1,57.1,0.5,0.29,0.5,0.09,1.4,1.4,427,520,82.1,9799,3268,102,116,87.9,259,275,94.2,66,118,55.9,0,9,56,8,4,55,489,29,27,1,1,12,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,19,2.37,18,1,1,0,0,1,0.12,1,0,0,0,0,0,12,8,9,2,1,1,1,1,1,1,1,1,1,1,1,11,7,7,4,6,47,0,613,77,269,301,47,12,613,613,613,613,613,613,349,349,349,8,6,0,0,408,408,2,1,0,7,10,0,0,0,0,39,24,9,72.7,2
2002,8,4,400,1,0,0,0,0,0,0.23,0.23,0,0.23,0.7,0.7,0.7,0.17,0.17,0.17,0.17,0.17,4.4,0,2,0,28.6,28.6,0.45,0,0,0.11,-0.7,-0.7,140,170,82.4,1922,402,95,110,86.4,35,37,94.6,5,11,45.5,1,6,12,8,0,24,167,3,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,14,3.15,13,0,0,0,0,1,0.23,1,0,0,0,0,0,8,6,3,4,1,1,1,1,1,1,1,1,1,1,1,6,3,3,3,2,5,0,234,6,33,110,98,17,234,234,234,234,234,234,144,144,144,14,10,2,2,168,168,15,9,0,5,7,0,0,0,0,17,6,4,60,0
1999,3,2,152,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.04,1.7,0,1,0,50,50,0.59,0,0,0.03,-0.1,-0.1,30,45,66.7,453,139,17,20,85,10,14,71.4,1,6,16.7,0,0,3,1,0,8,42,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.78,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,2,2,2,2,2,2,2,2,2,2,3,0,0,3,1,3,0,69,2,15,27,27,4,69,69,69,69,69,69,36,36,36,2,2,0,0,40,40,5,2,0,4,2,2,0,0,0,11,1,3,25,0
1990,8,8,593,1,0,0,2,0,0.3,0.15,0.46,0.3,0.46,1.1,1.1,1.1,0.16,0.16,0.16,0.16,0.16,6.6,0,3,0,42.9,42.9,0.46,0.29,0.67,0.15,0.9,0.9,64,97,66,912,278,40,48,83.3,18,27,66.7,3,6,50,1,4,3,3,0,9,95,1,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,12,1.82,9,0,0,0,0,4,0.61,3,0,0,0,0,0,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,3,3,3,1,1,0,167,3,23,78,69,16,167,167,167,167,167,167,118,118,118,15,9,4,4,127,127,28,11,0,9,12,5,0,0,0,20,8,25,24.2,2
2000,5,4,336,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.7,0.19,0.19,0.19,0.19,0.19,3.7,0,2,0,14.3,14.3,0.54,0,0,0.05,-0.7,-0.7,107,142,75.4,1352,337,75,94,79.8,22,27,81.5,4,9,44.4,0,8,5,9,0,18,138,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,14,3.75,13,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,4,1,1,1,1,1,1,1,1,1,1,1,7,0,0,7,5,0,0,197,4,22,71,109,15,197,197,197,197,197,197,143,143,143,18,11,7,7,144,144,6,3,0,4,9,0,0,0,0,28,0,5,0,0
2001,5,5,410,0,0,0,1,0,0.22,0,0.22,0.22,0.22,0.3,0.3,0.3,0.07,0.07,0.07,0.07,0.07,4.6,0,1,0,25,25,0.22,0.25,1,0.08,0.7,0.7,66,75,88,868,123,42,44,95.5,19,20,95,1,1,100,0,5,3,2,0,7,71,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1.76,7,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,2,2,2,2,2,2,2,2,2,2,2,5,1,1,4,0,2,0,118,3,15,46,58,11,118,118,118,118,118,118,78,78,78,5,6,3,3,97,97,13,17,0,3,5,2,0,0,0,9,4,5,44.4,1
2001,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,6,83.3,42,0,5,6,83.3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,2,0,7,7,7,7,7,7,5,5,5,1,1,0,0,7,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1993,8,8,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,142,235,60.4,4641,3419,21,22,95.5,59,59,100,62,152,40.8,0,0,3,0,0,0,130,103,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,264,234,262,2,0,0,264,264,264,264,264,264,111,111,111,0,1,0,0,70,70,0,0,0,0,0,0,0,0,0,5,1,0,100,0
1992,7,7,531,2,0,0,2,0,0,0.34,0.34,0,0.34,0,0,0,0.01,0.01,0.01,0.01,0.01,5.9,0,1,0,33.3,33.3,0.17,0,0,0.02,0,0,215,279,77.1,3299,1247,115,137,83.9,84,97,86.6,12,32,37.5,2,3,22,4,2,26,257,22,4,1,1,0,14,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,6,7,1.19,6,1,1,0,0,2,0.34,2,0,0,0,0,0,10,7,6,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,4,21,0,347,22,88,180,83,8,347,347,347,347,347,347,168,168,168,7,15,1,1,221,221,7,6,0,5,7,0,0,0,0,35,13,10,56.5,0
1997,7,6,488,2,0,0,1,0,0.55,0.37,0.92,0.55,0.92,2.3,2.3,2.3,0.43,0.43,0.43,0.43,0.43,5.4,0,3,0,33.3,33.3,0.55,0.33,1,0.26,0.7,0.7,55,85,64.7,744,149,32,44,72.7,22,30,73.3,1,2,50,2,9,3,1,0,7,82,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,16,2.96,12,0,0,0,2,4,0.74,3,0,0,0,0,0,3,2,0,2,1,1,1,1,1,1,1,1,1,1,1,3,0,0,3,0,6,0,143,8,15,76,57,21,143,143,143,143,143,143,79,79,79,5,5,3,3,103,103,22,7,0,5,6,6,0,0,0,19,14,21,40,3
1991,8,8,654,2,0,0,2,0,0,0.28,0.28,0,0.28,1.3,1.3,1.3,0.18,0.18,0.18,0.18,0.18,7.3,0,4,0,26.7,26.7,0.55,0,0,0.09,-1.3,-1.3,182,256,71.1,2451,377,115,136,84.6,56,85,65.9,3,15,20,2,8,11,4,2,16,251,5,2,0,0,0,26,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,20,2.75,9,0,0,3,7,3,0.41,2,0,0,0,1,0,18,8,7,9,2,2,2,2,2,2,2,2,2,2,2,10,0,0,10,5,1,0,367,5,57,155,161,29,367,367,367,367,367,367,240,240,240,24,16,5,5,260,260,18,24,0,13,29,2,0,0,0,46,13,19,40.6,0
1997,6,2,212,1,0,0,1,0,0.85,0.42,1.27,0.85,1.27,1.1,1.1,1.1,0.46,0.46,0.46,0.46,0.46,2.4,0,2,0,50,50,0.85,0.5,1,0.27,0.9,0.9,64,98,65.3,1207,367,32,44,72.7,21,30,70,10,14,71.4,1,4,4,6,2,8,91,6,1,1,1,2,11,4,3,0,0,0,0,0,0,0,0,1,1,1,1,1,5,13,5.52,9,1,1,2,0,2,0.85,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,126,2,20,49,58,11,126,126,126,126,126,126,83,83,83,12,6,1,1,93,93,4,5,0,4,2,0,0,0,0,17,2,1,66.7,2
